Beijing,30753001,39.916667,116.383333,"China’s massive capital"
Canton,30757701,23.133333,113.266667,"A sprawling port city"
Macao,30345401,22.166667,113.55,"A small peninsula in mainland China"
Shanghai,18857901,31.228611,121.474722,"China's global financial hub"
Tianjin,30741501,39.133333,117.183333,"A major port city"
